,total_points_prev,current_gw,position_number,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,round,total_points,player_id
129,0.0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8999999999999995,0.0,5
130,9.0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,5
131,1.0,9,2,0.0,0.0,0.0,6.4,0.0,0.0,3.7600000000000002,0.0,0.0,0.0,6.900000000000001,3.6,5
132,2.0,10,2,0.0,0.0,0.0,6.8,0.0,0.0,3.38,0.0,0.0,0.0,7.9,3.0999999999999996,5
133,0.0,11,2,0.0,0.0,0.0,5.5,0.0,0.0,3.4299999999999997,0.0,0.0,0.0,8.9,2.45,5
134,0.0,12,2,0.0,0.0,0.0,3.55,0.0,0.0,2.35,0.0,0.0,0.0,9.9,1.65,5
135,0.0,13,2,0.0,0.0,0.0,1.9000000000000001,0.0,0.0,1.21,0.0,0.0,0.0,10.900000000000002,0.8500000000000001,5
136,0.0,14,2,0.0,0.0,0.0,0.65,0.0,0.0,0.47000000000000003,0.0,0.0,0.0,11.9,0.25,5
137,0.0,15,2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,12.9,0.1,5
138,2.0,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.899999999999999,0.0,5
139,0.0,17,2,0.0,0.0,0.0,0.8,0.0,0.4,0.27999999999999997,0.0,0.0,0.0,14.9,0.8,5
140,0.0,18,2,0.0,0.0,0.0,0.6,0.0,0.3,0.21,0.0,0.0,0.0,15.900000000000002,0.6,5
141,0.0,19,2,0.0,0.0,0.0,0.3,0.0,0.15,0.105,0.0,0.0,0.0,16.900000000000002,0.3,5
142,0.0,20,2,0.0,0.0,0.0,0.2,0.0,0.1,0.06999999999999999,0.0,0.0,0.0,17.900000000000002,0.2,5
143,1.0,21,2,0.0,0.0,0.0,0.1,0.0,0.05,0.034999999999999996,0.0,0.0,0.0,18.9,0.1,5
144,0.0,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,19.900000000000002,0.4,5
145,0.0,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,20.9,0.3,5
146,0.0,24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,21.9,0.15,5
147,0.0,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,22.900000000000002,0.1,5
