,total_points_prev,current_gw,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,position_number,total_points,prediction
301,0,20,0,0,0,2,0.3,0.4,1.26,0,0,0,2,1.3,0.946701527
302,0,21,0,0,0,2.35,0.55,0.3,1.915,0.4,0,0,2,0.85,1.243524432
303,0,22,0,0,0,1.45,0.4,0.15,1.275,0.3,0,0,2,0.45,0.823706627
304,0,23,0,0,0,0.7,0.2,0.1,0.64,0.15,0,0,2,0.25,0.439082444
305,1,24,0,0,0,0.4,0.1,0.05,0.36,0.1,0,0,2,0.1,0.33100453
306,1,25,0,0,0,0.95,0.05,0,0.585,0.05,0,0,2,0.4,0.503472388
307,0,26,0,0,0,2.6,0,0,1.05,0,0,0,2,0.7,0.842152596
308,1,27,0,0,0,1.8,0,0,0.705,0,0,0,2,0.45,0.654695392
309,0,28,0,0,0,1.35,0.4,0,0.74,0,0,0,2,0.65,0.588353753
310,0,29,0,0,0,0.9,0.3,0,0.505,0,0,0,2,0.45,0.421013802
311,0,30,0,0,0,0.4,0.15,0,0.225,0,0,0,2,0.2,0.223106444
312,0,31,0,0,0,0.1,0.1,0,0.09,0,0,0,2,0.1,0.150693387
313,0,32,0,0,0,0.05,0.05,0,0.045,0,0,0,2,0.05,0.130438969
314,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
315,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
316,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
317,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
