,total_points_prev,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,total_points
276,0,0,0,0,0.1,0,0,0.29,0,0,0,0.35
277,1,0,0,0,0,0,0,0,0,0,0,0
278,2,0,0,0,0,0.4,0,2.24,0,0,0,0.4
279,2,0,0,0,0.8,0.7,0,1.96,0,0,0,1.1
280,1,0,0,0.4,0.6,1.25,0,2.77,0,0,0,1.55
281,2,0,0,0.3,0.3,0.85,0,1.995,0,0,0,1.4
282,7,0,0,0.15,0.2,0.45,0,2.145,0,0,0,1.65
283,9,0,0,0.1,0.1,0.65,0,3.8,0,0,0,3.85
284,2,0,0.4,0.45,0,2,0,6.865,0.4,0,0,6.2
285,0,0,0.3,0.3,0.8,2.55,0,5.325,0.7,0,0,4.8
286,3,0,0.15,0.15,0.6,1.6,0,3.025,0.45,0,0,2.75
287,1,0,0.1,0.5,0.7,1.7,0,3.315,0.25,0,0,2.75
288,0,0,0.05,0.35,0.5,1.1,0,2.875,0.15,0,0,1.95
289,0,0,0,0.15,0.25,0.45,0,1.395,0.05,0,0,0.85
290,1,0,0,0.1,0.1,0.2,0,0.745,0,0,0,0.45
291,1,0,0,0.05,0.05,0.1,0,0.91,0,0,0,0.65
292,10,0,0,0,1.15,0.5,0,9.035,2.15,0,0,2.7
293,3,0,0,0.4,1.5,1.45,0,10.71,2.5,0,0,5.75
294,10,0,0,0.7,1.4,1,0,10.685,2.05,0,0,5.1
295,3,0,0.8,0.45,1.6,1.3,0,13.12,3.15,0,0,6.7
296,5,0,0.6,0.65,1.4,0.9,0,10.42,2.05,0,0,5.75
297,5,0.4,0.7,0.45,1.2,0.85,0,10.54,2.2,0,0,5.2
298,2,0.7,0.5,0.2,1.1,1.3,0,10.82,3.45,0,0,5.1
299,2,0.45,0.25,0.1,1.45,1.65,0,7.245,2.2,0,0,3.85
300,11,0.25,0.1,0.05,1.3,1,0,7.04,2.25,0,0,2.8
301,10,0.55,0.05,0,1.55,0.55,0,11,3.15,0,0,6.05
302,2,0.35,0,0,1,0.3,0,10.965,2.7,0,0,8.05
303,2,0.15,0,0,0.5,0.1,0,8.005,1.9,0,0,5.75
304,6,0.1,0,0,0.25,0,0,5.785,1.55,0,0,4.1
305,0,0.45,0,0.4,0.1,0.4,0,9.88,3.65,0,0,4.85
306,0,0.3,0,0.3,0,0.3,0,6.3,2.45,0,0,2.8
307,6,0.15,0,0.15,0,0.15,0,2.96,1.2,0,0,1.2
308,6,0.5,0,0.5,0,0.5,0,5.24,1.95,0,0,3.1
309,2,0.75,0,0.75,0.8,0.75,0,7.775,2.45,0,0,4.5
310,2,0.45,0,0.45,1,1.25,0,10.04,3.75,0,0,3.5
311,3,0.25,0.4,0.25,0.6,0.85,0,9.445,3.35,0,0,2.9
312,0,0.15,0.3,0.55,0.35,0.45,0,7.945,2.75,0,0,3
313,0,0.05,0.15,0.35,0.2,0.25,0,4.66,1.65,0,0,1.7
314,5,0,0.1,0.15,0.05,0.1,0,2.235,0.8,0,0,0.75
315,14,0.4,0.05,0.1,0.4,0.8,0,4.795,1.5,0,0,2.4
316,2,0.7,0.4,0.45,1.1,1.8,0,9.47,3,0,0,7.25
317,10,0.45,0.3,0.3,1.15,2.4,0,7.605,1.95,0,0,5.75
318,3,0.25,0.15,0.15,0.7,1.55,0,7.485,1.05,0,0,7.2
319,2,0.15,0.1,0.5,0.8,1.25,0,8.745,2.25,0,0,6.15
320,3,0.05,0.05,0.35,1.3,0.75,0,6.94,2.65,0,0,4.1
321,5,0,0,0.55,0.8,0.7,0,6.07,2.3,0,0,3.35
322,7,0.4,0.4,0.8,0.4,0.4,0,8.295,3.85,0,0,4
323,8,0.3,0.3,0.5,0.25,0.6,0,9.795,3.4,0,0,5.1
324,3,0.1,0.3,0.5,2.4,1.6,0,7.93,1.55,0,0,5.5
325,3,0,0.15,0.75,1.75,0.9,0,6.205,1.25,0,0,4.2
326,2,0,0.1,0.85,1.1,0.95,0,5.815,1.6,0,0,3.75
327,0,0,0.05,0.55,2.2,1.8,0,4.645,1,0,0,2.8
328,0,0,0,0.3,1.4,1.1,0,2.44,0.45,0,0,1.45
329,0,0,0,0.15,0.65,0.55,0,1.235,0.25,0,0,0.75
330,0,0,0,0.05,0.4,0.35,0,0.595,0.1,0,0,0.35
331,0,0,0,0,0.2,0.15,0,0.17,0,0,0,0.1
332,0,0,0,0,0.1,0.05,0,0.15,0,0,0,0.1
333,4,0,0,0,0,0,0,0,0,0,0,0
334,1,0.4,0.4,0,0,0,0,1.92,0.8,0,0,1.6
335,1,0.3,0.3,0,0.8,0,0,1.64,0.6,0,0,1.6
336,1,0.15,0.15,0,1,0,0,1.31,0.3,0,0,1.3
337,1,0.1,0.5,0,1,0,0,2.925,1,0,0,1.25
