,first_name,second_name,team,player_id
195,Jairo,Riedewald,7,144
196,Aaron,Wan-Bissaka,7,145
197,James,McArthur,7,147
198,Bakary,Sako,7,148
199,Andros,Townsend,7,149
200,Luka,Milivojevic,7,150
201,Wilfried,Zaha,7,151
202,Christian,Benteke,7,152
203,Alexander,Sørloth,7,153
204,Cheikhou,Kouyaté,7,412
205,Joel,Ward,7,441
206,Jaroslaw,Jach,7,442
207,Pape,Souaré,7,443
208,Connor,Wickham,7,444
209,Sullay,Kaikai,7,477
210,Max,Meyer,7,486
211,Jordan,Ayew,7,505
212,Joe,Tupper,7,576
213,Lucas,Perri,7,584
214,Michy,Batshuayi,7,592
215,Sam,Woods,7,609
216,Luke,Dreher,7,618
217,Nikola,Tavares,7,619
218,Jordan,Pickford,8,154
219,Maarten,Stekelenburg,8,155
220,Leighton,Baines,8,156
221,Seamus,Coleman,8,157
222,Phil,Jagielka,8,158
223,Ashley,Williams,8,159
224,Mason,Holgate,8,160
225,Jonjoe,Kenny,8,161
226,Michael,Keane,8,162
227,Cuco,Martina,8,163
228,Theo,Walcott,8,164
229,Yannick,Bolasie,8,165
230,James,McCarthy,8,166
231,Morgan,Schneiderlin,8,167
232,Idrissa,Gueye,8,168
233,Tom,Davies,8,169
234,Ademola,Lookman,8,170
235,Davy,Klaassen,8,171
236,Gylfi,Sigurdsson,8,172
237,Nikola,Vlasic,8,173
238,Beni,Baningime,8,174
239,Dominic,Calvert-Lewin,8,175
240,Cenk,Tosun,8,177
241,Richarlison,de Andrade,8,393
242,Kevin,Mirallas,8,469
243,Sandro,Ramírez,8,470
244,Lucas,Digne,8,484
245,Yerry,Mina,8,506
246,Bernard,Anício Caldeira Duarte,8,507
247,André Filipe,Tavares Gomes,8,508
248,Kurt,Zouma,8,526
249,Kieran,Dowell,8,528
250,Tyias,Browning,8,532
251,Calum,Chambers,9,9
252,Marcus,Bettinelli,9,178
253,Tim,Ream,9,180
254,Denis,Odoi,9,181
255,Tom,Cairney,9,182
256,Kevin,McDonald,9,183
257,Ryan,Sessegnon,9,184
258,Stefan,Johansen,9,185
259,Floyd,Ayité,9,186
260,Neeskens,Kebano,9,187
261,Rui Pedro,da Rocha Fonte,9,188
262,Aboubakar,Kamara,9,189
