first_name second_name,second_name,id
Harry Maguire,Maguire,220
Ricardo Domingos Barbosa Pereira,Barbosa Pereira,221
Jonny Evans,Evans,222
Marc Albrighton,Albrighton,224
Demarai Gray,Gray,225
Daniel Amartey,Amartey,226
Wilfred Ndidi,Ndidi,227
Vicente Iborra,Iborra,228
Matty James,James,229
Hamza Choudhury,Choudhury,230
Adrien Sebastian Perruchet Silva,Perruchet Silva,231
Fousseni Diabaté,Diabaté,232
James Maddison,Maddison,233
Jamie Vardy,Vardy,234
Shinji Okazaki,Okazaki,235
Kelechi Iheanacho,Iheanacho,236
Danny Ward,Ward,457
Rachid Ghezzal,Ghezzal,492
Filip Benkovic,Benkovic,501
Çaglar Söyüncü,Söyüncü,515
Nampalys Mendy,Mendy,527
Josh Knight,Knight,558
Harvey Barnes,Barnes,571
Youri Tielemans,Tielemans,591
Simon Mignolet,Mignolet,237
Loris Karius,Karius,238
Dejan Lovren,Lovren,239
Alberto Moreno,Moreno,240
Joseph Gomez,Gomez,242
Joel Matip,Matip,243
Ragnar Klavan,Klavan,244
Trent Alexander-Arnold,Alexander-Arnold,245
Virgil van Dijk,van Dijk,246
Andrew Robertson,Robertson,247
Alex Oxlade-Chamberlain,Oxlade-Chamberlain,248
Jordan Henderson,Henderson,249
Adam Lallana,Lallana,250
Sadio Mané,Mané,251
Georginio Wijnaldum,Wijnaldum,252
Mohamed Salah,Salah,253
James Milner,Milner,254
Fabio Henrique Tavares,Tavares,255
Naby Keita,Keita,256
Roberto Firmino,Firmino,257
Xherdan Shaqiri,Shaqiri,462
Alisson Ramses Becker,Ramses Becker,468
Daniel Sturridge,Sturridge,472
Divock Origi,Origi,543
Rafael Camacho,Camacho,557
Curtis Jones,Jones,597
Riyad Mahrez,Mahrez,223
Ederson Santana de Moraes,Santana de Moraes,260
Claudio Bravo,Bravo,261
John Stones,Stones,262
Vincent Kompany,Kompany,263
Nicolás Otamendi,Otamendi,264
Kyle Walker,Walker,265
Danilo Luiz da Silva,da Silva,266
Benjamin Mendy,Mendy,267
Aymeric Laporte,Laporte,268
Fabian Delph,Delph,269
Raheem Sterling,Sterling,270
